0 0 1
0 1 1
0 2 1
0 3 1
0 4 1
0 5 1
0 6 1
0 7 1
0 8 1
0 9 1
0 10 1
0 11 1
0 12 1
0 13 1
0 14 1
0 15 1
0 16 1
0 17 1
0 18 1
0 19 1
0 20 1
0 21 1
0 22 1
0 23 1
0 24 1
0 25 1
0 26 1
0 27 1
0 28 1
0 29 1
0 30 1
0 31 1
0 32 1
0 33 1
0 34 1
0 35 1
0 36 1
0 37 1
0 38 1
0 39 1
0 40 1
0 41 1
0 42 1
0 43 1
0 44 1
0 45 1
0 46 1
0 47 1
0 48 1
0 49 1
0 50 1
0 51 1
0 52 1
0 53 1
0 54 1
0 55 1
0 56 1
0 57 1
0 58 1
0 59 1
0 60 1
0 61 1
0 62 1
0 63 1
0 64 1
0 65 1
0 66 1
0 67 1
0 68 1
0 69 1
0 70 1
0 71 1
0 72 1
0 73 1
0 74 1
0 75 1
0 76 1
0 77 1
0 78 1
0 79 1
0 80 1
0 81 1
0 82 1
0 83 1
0 84 1
0 85 1
0 86 1
0 87 1
0 88 1
0 89 1
0 90 1
0 91 1
0 92 1
0 93 1
0 94 1
0 95 1
0 96 1
0 97 1
0 98 1
0 99 1

1 0 0.966655
1 1 0.966542
1 2 0.966425
1 3 0.966305
1 4 0.966181
1 5 0.966053
1 6 0.965922
1 7 0.965787
1 8 0.965648
1 9 0.965506
1 10 0.965359
1 11 0.965209
1 12 0.965056
1 13 0.964899
1 14 0.964738
1 15 0.964574
1 16 0.964407
1 17 0.964236
1 18 0.964063
1 19 0.963887
1 20 0.963708
1 21 0.963528
1 22 0.963345
1 23 0.963161
1 24 0.962976
1 25 0.96279
1 26 0.962604
1 27 0.962418
1 28 0.962233
1 29 0.962049
1 30 0.961867
1 31 0.961688
1 32 0.961512
1 33 0.96134
1 34 0.961173
1 35 0.961011
1 36 0.960855
1 37 0.960706
1 38 0.960564
1 39 0.960431
1 40 0.960306
1 41 0.960191
1 42 0.960086
1 43 0.959993
1 44 0.95991
1 45 0.959839
